accuracy,loss,val_accuracy,val_loss
0.9857954382896423,0.046299293637275696,0.9931818246841431,0.023240337148308754
0.9835227131843567,0.0460803396999836,0.9909090995788574,0.024432098492980003
0.9892045259475708,0.042194072157144547,0.9886363744735718,0.026744909584522247
0.9886363744735718,0.040888041257858276,0.9931818246841431,0.021507656201720238
0.9846590757369995,0.044554926455020905,0.9931818246841431,0.021282177418470383
0.9852272868156433,0.04322193190455437,0.9931818246841431,0.02245360054075718
0.9852272868156433,0.04496397450566292,0.9931818246841431,0.02175517939031124
0.9852272868156433,0.043652668595314026,0.9931818246841431,0.020673763006925583
0.9846590757369995,0.04345627874135971,0.9931818246841431,0.021356355398893356
0.9829545617103577,0.04495079442858696,0.9977272748947144,0.019417908042669296
0.9863636493682861,0.041562777012586594,0.9931818246841431,0.0229615680873394
0.988068163394928,0.03799924999475479,0.9931818246841431,0.022111685946583748
0.9914772510528564,0.035797182470560074,0.9931818246841431,0.021092766895890236
0.987500011920929,0.03628053888678551,0.9931818246841431,0.018944596871733665
0.9846590757369995,0.04444928094744682,0.9954545497894287,0.01938626915216446
0.9886363744735718,0.03470197319984436,0.9931818246841431,0.01961233839392662
0.9892045259475708,0.03967306390404701,0.9931818246841431,0.02042032964527607
0.9886363744735718,0.0372038409113884,0.9931818246841431,0.02101792022585869
0.987500011920929,0.040584031492471695,0.9931818246841431,0.020553898066282272
0.9869318008422852,0.03901323303580284,0.9931818246841431,0.022410310804843903
0.987500011920929,0.035619232803583145,0.9931818246841431,0.022312704473733902
0.9869318008422852,0.03494524210691452,0.9931818246841431,0.020629912614822388
0.9863636493682861,0.0357312373816967,0.9931818246841431,0.019700011238455772
0.988068163394928,0.03613419830799103,0.9931818246841431,0.020372509956359863
0.9903408885002136,0.03231764957308769,0.9886363744735718,0.023157116025686264
0.9914772510528564,0.03939143568277359,0.9954545497894287,0.021547656506299973
0.988068163394928,0.04069118574261665,0.9931818246841431,0.019834574311971664
0.9846590757369995,0.04439230263233185,0.9954545497894287,0.019175264984369278
0.9863636493682861,0.04024645313620567,0.9931818246841431,0.017993906512856483
0.9886363744735718,0.036093179136514664,0.9931818246841431,0.017983311787247658
0.988068163394928,0.035982996225357056,0.9931818246841431,0.018731361255049706
0.9857954382896423,0.040608085691928864,0.9931818246841431,0.02087017334997654
0.9857954382896423,0.04060424864292145,0.9931818246841431,0.01768055558204651
0.9914772510528564,0.03093341737985611,0.9931818246841431,0.01779037155210972
0.9869318008422852,0.04066815227270126,0.9931818246841431,0.02017945796251297
0.9869318008422852,0.03560497611761093,0.9931818246841431,0.01950298622250557
0.988068163394928,0.03625841811299324,0.9954545497894287,0.0193669181317091
0.9892045259475708,0.03694885969161987,0.9954545497894287,0.017325356602668762
0.9829545617103577,0.045734703540802,0.9931818246841431,0.02015828713774681
0.9892045259475708,0.03471791371703148,0.9954545497894287,0.017612943425774574
0.987500011920929,0.04045359790325165,0.9931818246841431,0.019227318465709686
0.9857954382896423,0.044212304055690765,0.9954545497894287,0.018532274290919304
0.9909090995788574,0.033761437982320786,0.9931818246841431,0.017947793006896973
0.9857954382896423,0.036471888422966,0.9931818246841431,0.018099362030625343
0.9920454621315002,0.031368523836135864,0.9931818246841431,0.020052075386047363
0.9846590757369995,0.03853384032845497,0.9931818246841431,0.022225217893719673
0.9886363744735718,0.03300948068499565,0.9931818246841431,0.022036675363779068
0.9869318008422852,0.03630032762885094,0.9931818246841431,0.019248753786087036
0.9909090995788574,0.03505018725991249,0.9931818246841431,0.019421109929680824
0.9909090995788574,0.04009469226002693,0.9886363744735718,0.02337246760725975
0.9886363744735718,0.03554493188858032,0.9931818246841431,0.02071286365389824
0.988068163394928,0.03996070846915245,0.9931818246841431,0.017659559845924377
0.9863636493682861,0.03695819154381752,0.9931818246841431,0.0190594382584095
